"Name","Image","UPC-A","EAN-13","Amazon ASIN","Category","Brand","Model","Last Scanned","Store Name","Price","Currency"
"Vivitar TEL50600 60X/120X Telescope Refractor with Tripod (Black)","https://images-na.ssl-images-amazon.com/images/I/31pQsxPQyLL._SL150_.jpg","=""681066115664""","=""8994810033780""","=""B00281B6P2""","=""Electronics » Photography""","=""Vivitar""","=""TEL50600""","=""Jun 12, 2019 17:23""","Amazon US","20.00","USD"
"Gosky 12x55 High Definition Monocular Telescope and Quick Smartphone Holder - 2018 Newest Waterproof Monocular -BAK4 Prism for Wildlife Bird Watching Hunting Camping Travelling Wildlife Secenery","https://images-na.ssl-images-amazon.com/images/I/21dMAHFts2L._SL150_.jpg","=""607994607040""","=""0607994607040""","=""B07B8XTS3Z""","=""Electronics » Photography""","=""Gosky""","=""QHMN001""","=""Jun 13, 2019 05:52""","Amazon US","78.98","USD"
"OxGord Aluminum Telescopic Extension Ladder (12.5 Ft Telescope) - EN131 Certified - Extendable Telescoping Extendable with Spring Load Locking Mechanism Non-Slip - 250 lb Max Capacity","https://images-na.ssl-images-amazon.com/images/I/51qipwlFoJL._SL150_.jpg","=""840345108845""","=""9013222255319""","=""B01JY9QAPQ""","=""Electronics » Automotive Parts and Accessories""","=""OxGord""","=""LDAL-TS02-12-NEW""","=""Jun 13, 2019 10:16""","Amazon US","89.95","USD"
"TELMU HD Monocular-10x42 Waterproof Monocular Telescope for Camping Traveling Bird Watching Hunting Concert Ball Game with 75mm Phone Holder & Dust Covers","https://images-na.ssl-images-amazon.com/images/I/51W5nh2R%2B-L._SL150_.jpg","=""680491017215""","=""0680491017215""","=""B07PNHN8KC""","=""Electronics » Photography""","=""TELMU""","=""""","=""Jun 14, 2019 03:16""","Amazon US","47.99","USD"
"Phone Camera Lens, OYRGCIK 5 in 1 Phone Lens Kit 12X Zoom Telephoto Lens with Telescope + Fisheye Lens + Wide Angle Lens + Macro Lens Compatible with iPhone X XS Max 8 7 Plus Samsung S10 S10e S9 S8","https://images-na.ssl-images-amazon.com/images/I/51RUm62mZLL._SL150_.jpg","=""687551542663""","=""0687551542663""","=""B07FCKYR5G""","=""Cell Phones & Accessories » CE""","=""OYRGCIK""","=""5647442245""","=""Jun 14, 2019 03:22""","Amazon US","18.99","USD"
"Orion 7816 Cooling Accelerator Fan for Large Reflector Telescopes","https://images-na.ssl-images-amazon.com/images/I/51ccnC64FpL._SL150_.jpg","=""759270078164""","=""0759270078164""","=""B0009E2762""","=""Electronics » Photography""","=""Orion""","=""7816""","=""Jun 14, 2019 07:19""","Amazon US","26.25","USD"
"Aigen 12X50 Monocular Telescope for Smartphone with Tripod & Phone Shutter Remote Control Nitrogen-Filled Waterproof Fogproof BAK-4 Prism FMC Lens One Hand Focus Compact Zoom Highdefinition","https://images-na.ssl-images-amazon.com/images/I/41XnRoQi8vL._SL150_.jpg","=""688098127900""","=""0688098127900""","=""B07KFF4P84""","=""Electronics » Photography""","=""AIGEN""","=""HC11112F""","=""Jun 14, 2019 10:20""","Amazon US","check latest price",""
"Gosky Universal Cell Phone Adapter Mount - Compatible Binocular Monocular Spotting Scope Telescope Microscope-Fits almost all Smartphone on the Market -Record The Nature The World","https://images-na.ssl-images-amazon.com/images/I/41Zel94uWjL._SL150_.jpg","=""607994607309""","=""0703501415563""","=""B013D2ULO6""","=""Electronics » Photography""","=""Gosky""","=""FBA_QHAP021""","=""Jun 14, 2019 10:42""","Amazon US","18.88","USD"
"Solomark 1.25 Inch 4pcs Color Filter Set for Telescope Eyepiece - No.12 Yellow, No.23 Red, No.80A Blue and No.56 Green","https://images-na.ssl-images-amazon.com/images/I/51UDewzfJPL._SL150_.jpg","=""703501406783""","=""0703501406783""","=""B00QSOYZ9O""","=""Electronics » Photography""","=""SOLOMARK""","=""4332013139""","=""Jun 14, 2019 16:24""","Amazon US","20.99","USD"
"MAH 16' Brass Ship Telescope Stempunk Gift Handheld Pirate Brass Spyglass Telescope Home Decor Pirate Captain Boat. C-3268","https://images-na.ssl-images-amazon.com/images/I/31XxVC1dpTL._SL150_.jpg","=""728290962012""","=""0728290962012""","=""B07NQKT8W7""","=""Toys & Games » Lawn & Patio""","=""MAH""","=""C-3268""","=""Jun 14, 2019 16:28""","Amazon US","29.92","USD"
"Carson Red Planet 25-56x80mm Refractor Telescope (RP-200)","https://images-na.ssl-images-amazon.com/images/I/31%2BHO215SML._SL150_.jpg","=""750668009098""","=""0667649073644""","=""B004P1ITNA""","=""Electronics » Photography""","=""Carson""","=""RP-200""","=""Jun 14, 2019 17:19""","Amazon US","167.86","USD"
"Telescope, AZ50600 Travel Refractor Telescope for Kids, Telescope Eyepieces and Tripod Enjoy Steady Observation of Astronomy","https://images-na.ssl-images-amazon.com/images/I/61yAzBiiDbL._SL150_.jpg","=""710280938756""","=""0710280938756""","=""B07D57M8M3""","=""Electronics » Photography""","=""SOLOMARK""","=""""","=""Jun 14, 2019 17:34""","Amazon US","49.99","USD"
